anomaly,doc_id
1,DOC_00755
2,DOC_01435
3,DOC_01983
4,DOC_01716
5,DOC_01254
6,DOC_00012
7,DOC_01650
8,DOC_02118
9,DOC_01555
10,DOC_02077
11,DOC_01565
12,DOC_01451
13,DOC_01525
14,DOC_01267
15,DOC_01048
16,DOC_00883
17,DOC_00661
18,DOC_02140
19,DOC_00117
20,DOC_00642
21,DOC_01470
22,DOC_00707
23,DOC_02050
24,DOC_00296
25,DOC_01390
26,DOC_00746
27,DOC_00215
28,DOC_00390
29,DOC_01808
30,DOC_01208
31,DOC_01453
32,DOC_00105
33,DOC_01246
34,DOC_00314
35,DOC_00341
36,DOC_00677
37,DOC_01405
38,DOC_00081
39,DOC_00416
40,DOC_01743
41,DOC_01136
42,DOC_00501
43,DOC_01687
44,DOC_00534
45,DOC_00451
46,DOC_01752
47,DOC_01585
48,DOC_01069
49,DOC_01698
50,DOC_02034
