doc_id,label
DOC_00001,5
DOC_00002,3
DOC_00003,3
DOC_00004,0
DOC_00005,2
DOC_00006,1
DOC_00007,3
DOC_00008,0
DOC_00009,5
DOC_00010,0
DOC_00011,6
DOC_00012,4
DOC_00013,1
DOC_00014,1
DOC_00015,1
DOC_00016,5
DOC_00017,2
DOC_00018,1
DOC_00019,5
DOC_00020,2
DOC_00021,5
DOC_00022,1
DOC_00023,0
DOC_00024,6
DOC_00025,1
DOC_00026,2
DOC_00027,1
DOC_00028,1
DOC_00029,0
DOC_00030,5
DOC_00031,0
DOC_00032,5
DOC_00033,2
DOC_00034,1
DOC_00035,2
DOC_00036,2
DOC_00037,0
DOC_00038,5
DOC_00039,3
DOC_00040,6
DOC_00041,0
DOC_00042,2
DOC_00043,5
DOC_00044,3
DOC_00045,5
DOC_00046,3
DOC_00047,3
DOC_00048,0
DOC_00049,7
DOC_00050,2
DOC_00051,6
DOC_00052,5
DOC_00053,3
DOC_00054,5
DOC_00055,0
DOC_00056,1
DOC_00057,2
DOC_00058,5
DOC_00059,3
DOC_00060,5
DOC_00061,2
DOC_00062,6
DOC_00063,2
DOC_00064,1
DOC_00065,7
DOC_00066,2
DOC_00067,6
DOC_00068,3
DOC_00069,5
DOC_00070,3
DOC_00071,3
DOC_00072,0
DOC_00073,2
DOC_00074,0
DOC_00075,5
DOC_00076,5
DOC_00077,7
DOC_00078,2
DOC_00079,7
DOC_00080,3
DOC_00081,4
DOC_00082,2
DOC_00083,0
DOC_00084,7
DOC_00085,5
DOC_00086,6
DOC_00087,2
DOC_00088,6
DOC_00089,6
DOC_00090,0
DOC_00091,0
DOC_00092,2
DOC_00093,3
DOC_00094,6
DOC_00095,5
DOC_00096,0
DOC_00097,7
DOC_00098,6
DOC_00099,7
DOC_00100,2
DOC_00101,6
DOC_00102,5
DOC_00103,5
DOC_00104,6
DOC_00105,4
DOC_00106,5
DOC_00107,2
DOC_00108,2
DOC_00109,5
DOC_00110,2
DOC_00111,5
DOC_00112,5
DOC_00113,1
DOC_00114,6
DOC_00115,1
